"","Kabupaten","ILLITERATE","LOWEDU","NOELECTRIC","FHEAD","FEMALE","ELDERLY","FAMILYSIZE","CHILDREN","NOTRAINING","DPRONE","RENTED","NOSEWER","TAPWATER","kemiskinan","Geo.Laju.Pertumbuhan","UNEMPLOY","Population"
"20",1172,3.995967064,13.89655293,0,14.96917386,49.24976371,3.943171078,4.17459926,12.11306711,90.83847102,54.43896424,9.038224414,9.667077682,65.47472256,17.66,1.00268409,2.857979502,33978
"21",1173,5.510740447,13.70281846,0.128143133,16.16537718,50.41836842,2.582766732,4.132059961,10.05488526,98.34381044,91.77224371,13.29545455,2.516924565,32.45647969,11.24,1.684231036,7.088032397,171574
"22",1174,4.397141433,15.59606022,0,18.72873769,50.25628077,2.389092286,4.432072516,10.82338089,97.39256938,47.32094897,15.04476276,8.341539839,8.62354521,12.32,1.918485295,8.199216538,198980
"23",1175,9.505383824,27.14616434,1.155812403,13.21960436,49.82185956,1.400860693,4.351466993,11.88369153,99.81662592,83.11847077,7.54612136,19.58768615,8.362969549,19.71,2.270378798,5.23542294,78725
"24",1201,16.65514296,34.20056335,32.17099559,13.57861801,51.28725843,2.650216545,5.179062842,10.51788769,98.77860293,43.31058921,1.081916538,51.33260452,2.035661779,18.11,0.515559896,1.023763371,137588
"25",1202,4.306623281,34.32654459,7.469281225,19.0871856,50.91806106,3.706001496,4.285711493,12.02922285,97.93057606,85.05654992,12.66190285,62.64675119,2.653007361,11.02,0.953812452,4.817701785,439505
"26",1203,4.780866918,24.80424962,5.285913935,19.52629127,50.15494679,3.153221168,4.04937984,10.26028185,100,96.78856344,12.35078321,51.31165201,4.996214989,10.6,0.550008565,5.460258806,278587
"27",1204,5.338925592,25.83098667,4.101443383,18.60261232,49.81095286,3.646717981,4.600515857,12.42104624,98.45369994,62.09468388,15.11231958,37.24715389,17.69668632,14.66,1.913279457,6.914301008,363705
"28",1205,4.837727509,18.89813945,3.85522119,21.63638885,50.62977292,5.821026072,4.122174456,10.50159798,99.86132298,99.19567328,9.123561226,23.83441964,15.09360699,11.35,0.760973409,1.896725804,297806
"29",1206,4.32677629,16.8888744,4.41258892,20.7458504,50.4064279,6.370034002,3.911597327,11.55632953,99.79521449,99.04505281,12.74412589,15.62190127,16.54666954,10.19,0.496716238,2.054123913,181790
"30",1207,4.61040162,23.10510031,2.512060346,14.22594509,49.56059913,3.057969859,4.17996667,11.50248238,99.49478116,99.23866328,9.614068941,9.029032541,4.513639154,8.89,1.659100552,6.420286523,478593
"31",1208,4.636493997,28.07912853,1.062870142,14.59051205,49.78644307,3.957810132,4.018058147,10.73111349,100,95.67456115,8.922618347,4.053698194,11.25678651,11.67,0.808816246,4.704219026,718718
"32",1209,3.452988527,24.0290718,0.311652073,17.28627145,50.17447593,5.140454873,3.8865822,10.11447579,98.53052424,98.10653246,5.391399671,5.612455211,34.68080577,10.65,0.577496872,4.671148398,859228
"33",1210,4.094601783,19.34852539,2.00812747,20.29214205,50.04759064,4.46037902,3.932019718,11.86640527,99.89666103,97.01713472,13.17292519,12.98998729,23.09067296,8.87,0.49914609,1.326861646,281876
"34",1211,3.737058653,22.68195869,0.728613754,15.53898621,50.36011536,4.881480707,3.594178251,10.90058724,97.51966989,59.49659413,25.26964975,16.34994943,26.6158845,9.97,1.6462397,1.419622719,403207
"35",1212,3.087008926,18.23545718,0.530787831,12.85990348,49.67829397,3.211356299,4.085850513,10.5567872,100,99.1124404,15.60784238,2.906029385,16.157469,4.62,2.041798745,5.223959646,2114627
"36",1213,3.455070841,29.73288927,0.317515896,13.12796925,49.6580647,4.020613535,4.084376467,10.22269632,99.91047484,96.22840454,4.563793639,5.468594574,8.289233903,11.15,0.669148609,2.953339908,1028309
"37",1214,17.24966687,19.98649871,34.76850044,13.00363549,50.34496391,2.790636876,4.711955052,7.407159436,99.15872968,88.32286753,0.827749902,43.80013821,3.83529129,18.48,0.997919829,1.129520985,314395
"38",1215,5.050038775,19.07591778,1.453526843,23.69094358,50.30927503,6.202682531,4.107856544,12.76189044,99.69341391,99.19934713,4.614230888,16.5203582,10.13719176,9.85,0.995531644,0.307357489,186694
"39",1216,6.706973784,27.87336188,2.852628807,18.61669446,49.58582654,3.379399928,4.121916967,13.00653734,99.81567629,98.41130519,5.670148337,19.88062846,13.56095848,10.53,1.804368471,1.228473872,47183
"40",1217,6.344686082,23.68113967,1.14698253,24.01475138,50.34484963,6.327171594,3.910585367,9.635010829,99.86248711,91.71172297,4.125386755,16.90158452,11.98862393,14.72,0.10742824,1.295181979,125099
"41",1218,3.868895447,30.57620322,0.324580887,13.90277117,49.79949711,4.366815792,4.048733407,10.58616073,99.13202708,97.59439949,4.69287112,5.039928077,2.023507325,9.3,0.28871624,5.389551619,612924
"42",1219,5.189160567,31.72351108,0.269856976,13.95060618,49.71338664,4.090765389,4.078248528,11.13589076,99.64418858,99.08148681,4.631545281,3.392202133,8.810330525,12.48,1.033916508,4.334017107,409091
"43",1220,4.913786337,26.08956725,6.70520948,12.58428011,49.78594418,2.850000382,4.054962258,12.34643406,100,95.64300882,4.81113505,39.34466885,0.55334253,10.7,1.953163759,3.053284821,262895
"44",1221,4.559443106,30.26619634,7.05818275,14.32461874,49.83635157,2.559476325,4.297353582,13.99771861,100,99.29674484,7.658913238,49.32397796,0,9.1,2.279641411,3.971658137,269799
"45",1222,6.189622976,28.26652976,1.575398498,9.140038176,48.99964026,2.202728505,4.031247676,10.59425089,98.81132403,98.07010585,7.740648008,11.29923895,1.239495278,11.63,2.033667801,5.323263179,326825
"46",1223,4.545844467,28.84196402,1.434458047,14.3505524,49.48809477,3.304828777,4.262788892,11.81080521,99.60585249,94.33024784,5.649447596,11.0528516,0,11.28,0.835128769,4.354661527,357691
"47",1224,9.666108137,34.36308372,30.30629254,15.62369774,50.55649614,3.419948473,4.717669121,9.94111152,97.7809418,73.81233505,0.260452841,35.41811363,2.417002361,29.06,0.807242717,2.424252109,136090
"48",1225,17.37263689,27.77237755,20.2383592,16.68514412,51.96339357,3.161040295,4.748780488,13.00018677,100,81.04767184,0.360310421,37.20066519,0,27.23,0.571839591,1.216276978,85801
"49",1271,3.558714271,20.24529164,0.644795213,17.21861137,49.81602852,2.721628148,4.486227174,10.85661722,97.49819457,80.65098525,32.49767874,2.919632725,84.30310533,13.69,0.266105255,8.285110042,87090
"50",1272,4.927660699,25.54467222,0.389600469,17.39706144,49.61881266,3.064148467,4.345471213,11.2984981,99.23862392,100,23.48043085,6.284535662,66.54274146,14.46,1.274378868,6.86668102,171187
"51",1273,1.54148485,9.298318046,0,20.60730512,51.24233624,5.031093264,4.058709396,8.978603213,99.13657898,96.97964331,26.53160218,1.571620289,83.93939884,10.1,0.739629429,8.906106474,251513
"52",1274,2.644290657,18.05983011,0.494197482,17.08054681,50.56329853,3.908449166,3.939245673,9.809820431,99.69266326,98.4166011,20.27684894,2.166109363,30.6402439,11.9,1.186089987,9.390203705,160686
"53",1275,2.429978833,12.64192909,0,19.37807439,50.55990912,3.539581535,4.164858938,8.812883884,98.4177033,95.66609287,30.05973769,0.275012488,65.73188418,9.11,0.777905722,8.184693116,2247425
"54",1276,2.33535506,15.98261849,0.227080053,17.96960155,50.09810164,3.493528994,4.089378709,7.774462477,99.0084171,98.20303984,18.7704372,1.683420128,16.4890396,6.75,1.201914274,5.46050666,270926
"55",1277,4.488199417,15.08870702,0.296827416,20.93018773,51.20828378,2.863925227,4.14910759,8.906273227,100,100,31.17651594,15.43309818,29.62106318,8.25,1.477002318,3.649164194,216013
"56",1278,7.372116759,24.43033941,1.731102135,21.47648586,51.10810305,2.857739441,5.008871898,11.81616578,99.58165032,80.20051933,7.198499711,15.85040392,22.32039815,21.66,1.144112346,4.246342917,139281
"57",1301,5.901252946,36.86427375,27.39887936,8.85133952,48.1167235,2.751566093,3.864340746,8.68516148,91.86219576,31.85956925,2.779723341,33.20346699,0.555944668,14.67,1.965158623,1.229042816,88692
"58",1302,7.120761133,30.14002346,1.465300599,13.25343128,50.45769448,5.544259867,4.411540692,10.05043622,98.35105355,69.54571815,4.35144017,28.84013145,17.28107481,7.79,0.733203651,5.131128293,457285
"59",1303,5.50435057,37.73344283,4.685715591,17.78699009,50.56150466,5.275671211,4.202971541,10.43857957,97.61203234,86.22264858,5.405189347,37.82262117,29.30999041,9.06,0.66497377,4.399613393,368691
"60",1304,6.458854341,36.51184934,2.151405608,15.87582915,49.83727849,4.163576558,4.022496754,11.38352543,99.49461271,97.82227214,5.792650827,32.52377777,17.25687011,7.35,1.649818806,2.571397208,230104
"61",1305,5.439213644,33.47232954,1.496671677,18.52694868,51.19353516,7.393624086,3.718767447,9.063822662,98.98325102,85.29310715,3.529095985,17.66695297,21.15310286,5.56,0.284764547,3.280318663,346578
"62",1306,7.581784477,34.29397552,1.658807679,22.23812732,50.8077818,7.070374837,4.320109885,9.839808013,95.31828899,63.54307006,4.98063321,26.12832604,12.38211519,8.46,0.56616588,4.039370596,411003
"63",1307,4.386614025,30.98811293,2.078680051,19.06241175,50.69163811,7.253902133,4.125217153,9.729817195,97.25295885,81.02487741,8.768281516,15.05737978,16.13309029,7.59,0.469676795,3.482113639,484288
"64",1308,6.021813381,34.72920627,3.576899277,16.77876178,50.7811421,7.188844622,3.819349341,9.871713147,99.48365237,90.94109174,3.231991235,29.25834627,13.86023109,7.15,0.060310708,2.301666015,376072
"65",1309,6.181860024,37.26251591,3.49050446,18.71445,50.32693762,4.616402886,4.273396948,11.5046404,99.61613776,95.58946943,5.17670096,48.04028222,27.6582849,7.41,1.008550032,5.456831517,275728
"66",1310,6.177195149,32.95264724,2.306369164,11.86374979,49.57513783,4.026031527,3.994403663,11.12223051,99.25866705,92.83378152,6.279526128,28.9895099,30.583618,7.21,1.770560759,4.805050415,165603
"67",1311,4.619151356,37.10300944,0,8.557279279,48.21229313,3.630137279,4.151780326,11.29485299,99.71422486,99.9929,7.062728531,16.64595832,1.265575633,6.68,3.159567564,3.074581431,235476
"68",1312,7.01989094,35.10292278,1.47322298,18.06815969,49.47145579,3.338743443,4.139532619,12.08853762,99.03700097,93.14410906,5.170399221,42.22492697,11.35540409,7.26,2.193467958,3.451385514,427295
"69",1371,3.386344026,12.703227,0.324939074,19.44159927,50.08262853,3.014561452,4.07946438,9.192383241,83.35040441,66.25754954,25.88563557,6.721294105,44.90869918,4.74,1.494836775,7.520325203,927011
